%% File generated by CATS v.2.1Mon Aug 19 19:12:13 2019

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 800; Distribution: matching; Runs: 10; Seed: 1566250953
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 804
dummy 257

0	9967	2	16	#
426	3242	10	13	149	#
427	2917	10	17	149	#
428	3242	14	17	149	#
429	3245	2	5	155	#
430	2921	2	9	155	#
431	2629	2	13	155	#
432	3245	6	9	155	#
433	2921	6	13	155	#
434	3245	10	13	155	#
435	3982	0	13	156	#
436	2688	0	17	156	#
437	2987	4	17	156	#
438	3256	2	5	157	#
439	2198	2	9	157	#
440	1978	2	13	157	#
441	1780	2	17	157	#
442	2442	6	9	157	#
443	2198	6	13	157	#
444	1978	6	17	157	#
445	2442	10	13	157	#
446	2198	10	17	157	#
447	2442	14	17	157	#
448	411	1	7	159	#
449	370	1	11	159	#
450	333	1	15	159	#
451	411	5	11	159	#
452	370	5	15	159	#
453	411	9	15	159	#
454	6985	0	13	161	#
455	4715	0	17	161	#
456	5238	4	17	161	#
457	1021	3	5	162	#
458	919	3	9	162	#
459	827	3	13	162	#
460	1021	7	9	162	#
461	919	7	13	162	#
462	1021	11	13	162	#
463	5492	0	13	163	#
464	3707	0	17	163	#
465	4119	4	17	163	#
466	5554	0	13	167	#
467	3749	0	17	167	#
468	4165	4	17	167	#
469	5956	10	13	168	#
470	4021	10	17	168	#
471	4467	14	17	168	#
472	714	7	9	169	#
473	482	7	13	169	#
474	434	7	17	169	#
475	536	11	13	169	#
476	482	11	17	169	#
477	536	15	17	169	#
478	1266	1	7	170	#
479	855	1	11	170	#
480	769	1	15	170	#
481	692	1	19	170	#
482	950	5	11	170	#
483	855	5	15	170	#
484	769	5	19	170	#
485	950	9	15	170	#
486	855	9	19	170	#
487	950	13	19	170	#
488	5058	2	5	171	#
489	3414	2	9	171	#
490	3073	2	13	171	#
491	2765	2	17	171	#
492	3793	6	9	171	#
493	3414	6	13	171	#
494	3073	6	17	171	#
495	3793	10	13	171	#
496	3414	10	17	171	#
497	3793	14	17	171	#
498	4830	0	13	172	#
499	4347	0	17	172	#
500	4830	4	17	172	#
501	5361	9	14	173	#
502	3618	9	18	173	#
503	4020	13	18	173	#
504	2533	2	5	176	#
505	1710	2	9	176	#
506	1539	2	13	176	#
507	1385	2	17	176	#
508	1900	6	9	176	#
509	1710	6	13	176	#
510	1539	6	17	176	#
511	1900	10	13	176	#
512	1710	10	17	176	#
513	1900	14	17	176	#
514	4135	2	5	177	#
515	2791	2	9	177	#
516	2512	2	13	177	#
517	2261	2	17	177	#
518	3101	6	9	177	#
519	2791	6	13	177	#
520	2512	6	17	177	#
521	3101	10	13	177	#
522	2791	10	17	177	#
523	3101	14	17	177	#
524	7581	1	12	178	#
525	5117	1	16	178	#
526	5686	5	16	178	#
527	1393	5	11	183	#
528	940	5	15	183	#
529	846	5	19	183	#
530	1045	9	15	183	#
531	940	9	19	183	#
532	1045	13	19	183	#
533	3925	6	9	184	#
534	2649	6	13	184	#
535	2385	6	17	184	#
536	2944	10	13	184	#
537	2649	10	17	184	#
538	2944	14	17	184	#
539	1495	3	5	187	#
540	1009	3	9	187	#
541	908	3	13	187	#
542	817	3	17	187	#
543	1121	7	9	187	#
544	1009	7	13	187	#
545	908	7	17	187	#
546	1121	11	13	187	#
547	1009	11	17	187	#
548	1121	15	17	187	#
549	3542	2	5	190	#
550	3188	2	9	190	#
551	2869	2	13	190	#
552	3542	6	9	190	#
553	3188	6	13	190	#
554	3542	10	13	190	#
555	936	1	7	191	#
556	632	1	11	191	#
557	569	1	15	191	#
558	512	1	19	191	#
559	702	5	11	191	#
560	632	5	15	191	#
561	569	5	19	191	#
562	702	9	15	191	#
563	632	9	19	191	#
564	702	13	19	191	#
565	5434	6	9	195	#
566	3668	6	13	195	#
567	3301	6	17	195	#
568	4076	10	13	195	#
569	3668	10	17	195	#
570	4076	14	17	195	#
571	981	7	9	196	#
572	662	7	13	196	#
573	596	7	17	196	#
574	736	11	13	196	#
575	662	11	17	196	#
576	736	15	17	196	#
577	434	3	5	198	#
578	391	3	9	198	#
579	352	3	13	198	#
580	434	7	9	198	#
581	391	7	13	198	#
582	434	11	13	198	#
583	5113	5	10	199	#
584	3451	5	14	199	#
585	3106	5	18	199	#
586	3835	9	14	199	#
587	3451	9	18	199	#
588	3835	13	18	199	#
589	6414	1	12	200	#
590	5773	1	16	200	#
591	6414	5	16	200	#
592	7527	1	12	201	#
593	5080	1	16	201	#
594	5645	5	16	201	#
595	8284	0	13	203	#
596	5591	0	17	203	#
597	6213	4	17	203	#
598	5858	6	9	204	#
599	3954	6	13	204	#
600	3559	6	17	204	#
601	4394	10	13	204	#
602	3954	10	17	204	#
603	4394	14	17	204	#
604	5614	1	6	205	#
605	3789	1	10	205	#
606	3410	1	14	205	#
607	3069	1	18	205	#
608	4210	5	10	205	#
609	3789	5	14	205	#
610	3410	5	18	205	#
611	4210	9	14	205	#
612	3789	9	18	205	#
613	4210	13	18	205	#
614	743	9	15	206	#
615	501	9	19	206	#
616	557	13	19	206	#
617	7528	1	12	208	#
618	5081	1	16	208	#
619	5646	5	16	208	#
620	4414	5	10	211	#
621	2979	5	14	211	#
622	2681	5	18	211	#
623	3310	9	14	211	#
624	2979	9	18	211	#
625	3310	13	18	211	#
626	5823	1	12	212	#
627	3931	1	16	212	#
628	4368	5	16	212	#
629	5362	6	9	213	#
630	3619	6	13	213	#
631	3257	6	17	213	#
632	4021	10	13	213	#
633	3619	10	17	213	#
634	4021	14	17	213	#
635	3417	0	13	215	#
636	2307	0	17	215	#
637	2563	4	17	215	#
638	934	3	5	217	#
639	841	3	9	217	#
640	756	3	13	217	#
641	934	7	9	217	#
642	841	7	13	217	#
643	934	11	13	217	#
644	3022	2	5	218	#
645	2720	2	9	218	#
646	2448	2	13	218	#
647	3022	6	9	218	#
648	2720	6	13	218	#
649	3022	10	13	218	#
650	5659	0	13	220	#
651	5093	0	17	220	#
652	5659	4	17	220	#
653	3844	6	9	223	#
654	2594	6	13	223	#
655	2335	6	17	223	#
656	2883	10	13	223	#
657	2594	10	17	223	#
658	2883	14	17	223	#
659	9010	0	13	224	#
660	6082	0	17	224	#
661	6758	4	17	224	#
662	3913	5	10	226	#
663	2641	5	14	226	#
664	2377	5	18	226	#
665	2935	9	14	226	#
666	2641	9	18	226	#
667	2935	13	18	226	#
668	1360	9	15	228	#
669	918	9	19	228	#
670	1020	13	19	228	#
671	1380	11	13	230	#
672	931	11	17	230	#
673	1035	15	17	230	#
674	4760	1	6	231	#
675	3213	1	10	231	#
676	2891	1	14	231	#
677	2602	1	18	231	#
678	3570	5	10	231	#
679	3213	5	14	231	#
680	2891	5	18	231	#
681	3570	9	14	231	#
682	3213	9	18	231	#
683	3570	13	18	231	#
684	1440	7	9	233	#
685	972	7	13	233	#
686	875	7	17	233	#
687	1080	11	13	233	#
688	972	11	17	233	#
689	1080	15	17	233	#
690	5945	2	5	235	#
691	4013	2	9	235	#
692	3612	2	13	235	#
693	3250	2	17	235	#
694	4459	6	9	235	#
695	4013	6	13	235	#
696	3612	6	17	235	#
697	4459	10	13	235	#
698	4013	10	17	235	#
699	4459	14	17	235	#
700	974	7	9	236	#
701	657	7	13	236	#
702	592	7	17	236	#
703	730	11	13	236	#
704	657	11	17	236	#
705	730	15	17	236	#
706	3784	1	12	237	#
707	3406	1	16	237	#
708	3784	5	16	237	#
709	802	3	5	241	#
710	722	3	9	241	#
711	650	3	13	241	#
712	802	7	9	241	#
713	722	7	13	241	#
714	802	11	13	241	#
715	2610	9	14	242	#
716	1762	9	18	242	#
717	1958	13	18	242	#
718	8537	1	12	245	#
719	5762	1	16	245	#
720	6402	5	16	245	#
721	4525	1	6	249	#
722	3055	1	10	249	#
723	2749	1	14	249	#
724	2474	1	18	249	#
725	3394	5	10	249	#
726	3055	5	14	249	#
727	2749	5	18	249	#
728	3394	9	14	249	#
729	3055	9	18	249	#
730	3394	13	18	249	#
731	6564	3	16	#
732	4618	1	12	252	#
733	4156	1	16	252	#
734	9065	1	12	255	#
735	6119	1	16	255	#
736	6799	5	16	255	#
737	4217	1	6	257	#
738	2847	1	10	257	#
739	2562	1	14	257	#
740	2306	1	18	257	#
741	3163	5	10	257	#
742	2847	5	14	257	#
743	2562	5	18	257	#
744	3163	9	14	257	#
745	2847	9	18	257	#
746	3163	13	18	257	#
747	3263	10	13	262	#
748	2203	10	17	262	#
749	2447	14	17	262	#
750	6083	2	5	266	#
751	4106	2	9	266	#
752	3696	2	13	266	#
753	3326	2	17	266	#
754	4562	6	9	266	#
755	4106	6	13	266	#
756	3696	6	17	266	#
757	4562	10	13	266	#
758	4106	10	17	266	#
759	4562	14	17	266	#
760	1488	9	15	267	#
761	1005	9	19	267	#
762	1116	13	19	267	#
763	4557	2	5	269	#
764	4101	2	9	269	#
765	3691	2	13	269	#
766	4557	6	9	269	#
767	4101	6	13	269	#
768	4557	10	13	269	#
769	1046	3	5	270	#
770	942	3	9	270	#
771	848	3	13	270	#
772	1046	7	9	270	#
773	942	7	13	270	#
774	1046	11	13	270	#
775	6090	2	5	273	#
776	4111	2	9	273	#
777	3700	2	13	273	#
778	3330	2	17	273	#
779	4568	6	9	273	#
780	4111	6	13	273	#
781	3700	6	17	273	#
782	4568	10	13	273	#
783	4111	10	17	273	#
784	4568	14	17	273	#
785	802	3	5	274	#
786	722	3	9	274	#
787	650	3	13	274	#
788	802	7	9	274	#
789	722	7	13	274	#
790	802	11	13	274	#
791	4888	9	14	275	#
792	3299	9	18	275	#
793	3666	13	18	275	#
794	2681	1	6	276	#
795	1810	1	10	276	#
796	1629	1	14	276	#
797	1466	1	18	276	#
798	2011	5	10	276	#
799	1810	5	14	276	#
800	1629	5	18	276	#
801	2011	9	14	276	#
802	1810	9	18	276	#
803	2011	13	18	276	#
